merkle_root,count
8e12,19
47da,18
5425,17
6468,16
7da6,16
1285,16
f8ed,16
e1a9,16
9c56,15
7e1c,15
9f09,15
81dd,15
9f3f,15
0c01,15
76d9,15
409f,15
0bc6,15
1a6d,15
00f4,15
a365,15
5d1f,15
62e8,15
6346,15
3bdc,15
f1d9,15
b40e,15
853b,15
5eab,15
2cd7,15
0b34,15
5ad2,15
93de,15
e791,14
0e54,14
b99c,14
420c,14
0640,14
c857,14
c85c,14
efde,14
8c7b,14
7760,14
2aaa,14
f8df,14
6264,14
1772,14
67b4,14
fbb4,14
72a2,14
a8b3,14
27e4,14
8a32,14
8a08,14
b51a,14
544a,14
567b,14
3661,14
0923,14
6792,14
5a44,14
6b06,14
2c45,14
2f4e,14
9c46,14
5f7b,14
6684,14
0c34,14
0bfe,14
d7b0,14
1bbf,14
0132,14
0b4b,14
80c0,14
93d5,14
4c4d,14
ee78,14
ccf6,14
4dbc,14
ecc5,14
1494,14
8d5a,14
7c2d,14
723c,14
5cb4,14
829f,14
bb2a,14
8244,14
6197,14
4427,14
3680,13
62cf,13
c12c,13
0524,13
2b85,13
1bdc,13
5ed2,13
bbb4,13
df28,13
805f,13
3698,13
c5d5,13
8601,13
b2a2,13
b26a,13
e02c,13
b9b7,13
b145,13
3580,13
2dce,13
de46,13
b8dc,13
d535,13
c2ce,13
b8a5,13
179c,13
617d,13
58ae,13
bc36,13
81e0,13
0598,13
6df0,13
329a,13
1756,13
b9ee,13
de0d,13
b936,13
bd9e,13
1a15,13
8136,13
7f6a,13
1865,13
2bb4,13
3c17,13
3860,13
0e66,13
ec0b,13
7235,13
5139,13
263f,13
2655,13
217f,13
ea3b,13
4542,13
4143,13
7bec,13
d089,13
6ef2,13
f5fe,13
8b58,13
9f12,13
9e56,13
1131,13
9664,13
941c,13
ff9a,13
ced3,13
cbe2,13
66ef,13
956f,13
9055,13
8df2,13
fefd,13
9b25,13
f480,13
9c67,13
0c71,13
4611,13
f556,13
2cc7,13
0933,13
d169,13
e27f,13
c820,13
e22c,13
7047,13
637f,13
aeb1,13
c740,13
8992,13
54ce,13
3a19,13
e45f,13
124e,13
024b,13
74d4,13
afa4,13
39f1,13
5e72,13
e4f8,13
3ecc,13
688c,13
0201,13
acf1,13
2026,12
2256,12
7b05,12
d2cf,12
7c61,12
5ed4,12
5dd2,12
1c80,12
1e89,12
793d,12
5ef1,12
cf3d,12
7b44,12
2070,12
d3a6,12
21e8,12
5e28,12
1c22,12
d53c,12
d460,12
211b,12
d0ac,12
dfeb,12
d922,12
78be,12
11ec,12
e52a,12
e5dc,12
e605,12
10cc,12
e78a,12
0fc0,12
e841,12
e873,12
e8e4,12
0f41,12
e988,12
72c4,12
65d3,12
0e24,12
6606,12
eb6c,12
7243,12
7216,12
6652,12
71b9,12
71a5,12
eda4,12
66cd,12
ee41,12
ee49,12
ee60,12
ee69,12
7159,12
11ef,12
e472,12
e409,12
626e,12
60db,12
6144,12
da2b,12
1aa2,12
1a52,12
db42,12
61a7,12
1914,12
dcea,12
6217,12
dd84,12
17e8,12
dded,12
170c,12
e406,12
decb,12
162c,12
df4e,12
764e,12
ce21,12
e050,12
634c,12
1489,12
75aa,12
e212,12
e239,12
e242,12
e2db,12
22e7,12
c9b7,12
cd99,12
534c,12
a89b,12
a85b,12
a832,12
a7cb,12
a7c2,12
8ae8,12
3f02,12
a6d8,12
8a41,12
5315,12
a64c,12
a61d,12
a5cb,12
3fa1,12
3fda,12
3ff3,12
a900,12
3cf4,12
4037,12
39c4,12
b060,12
55a7,12
3929,12
5516,12
ae90,12
8829,12
ae77,12
adcd,12
5428,12
ad01,12
3aa0,12
3abe,12
3b18,12
3b20,12
abeb,12
aa7b,12
4027,12
52b1,12
b1b9,12
911f,12
4890,12
492d,12
902a,12
9820,12
9793,12
9790,12
96ba,12
9508,12
9b89,12
94dc,12
912b,12
4bd5,12
915f,12
4ca6,12
917f,12
4e1e,12
4880,12
9d3f,12
a4ab,12
a18a,12
8bf6,12
a3b5,12
41f6,12
a27e,12
4253,12
a218,12
4299,12
a182,12
45c3,12
4331,12
8d2e,12
43cc,12
43ee,12
a040,12
9f8f,12
44ed,12
86e1,12
b210,12
cd0a,12
2ad4,12
c630,12
7eba,12
c5dd,12
7ef0,12
5ad3,12
2a93,12
c3da,12
c393,12
5bb1,12
c313,12
5a46,12
c24d,12
7128,12
c20f,12
5a13,12
c0b6,12
c676,12
5bc3,12
bfb7,12
5cbb,12
ccf3,12
7d15,12
5d47,12
2540,12
25ad,12
cb5b,12
7d50,12
26e3,12
