merkle_root,count_x,nonce,count_y
5ef,110,edd1,2
6b9,107,3ec7,2
071,106,6ce9,2
fbb,106,c03b,2
fc8,105,6c17,2
db2,102,339b,2
202,102,715a,2
adc,102,313a,2
bd6,101,3435,2
c74,100,9918,2
9f6,100,065b,2
617,100,b95d,2
47d,99,beec,2
55a,99,e1c6,2
046,99,145d,2
56a,98,1d2e,2
2c4,98,bc13,2
d27,98,2da5,2
d1c,98,f045,2
121,98,368f,2
4f3,98,14f7,2
cf1,98,3f1b,2
b3b,97,1dd2,2
b7b,97,194d,2
5e6,97,f351,2
b74,97,35c6,2
f5f,96,6fd0,2
214,96,7b03,2
685,96,867c,2
bbf,96,eaf4,2
bb7,96,8794,2
8cb,95,346b,2
25a,95,4a37,2
e12,94,602b,2
66b,94,504c,2
682,94,e5dc,2
751,94,e801,2
845,94,3494,2
845,94,3994,2
a6f,93,d84f,2
853,93,601e,2
26c,93,5efe,2
e88,93,b2a4,2
93a,93,00ee,2
40a,92,db2f,2
93b,92,c524,2
e1d,92,3405,2
e1d,92,eb69,2
e42,92,9b55,2
5af,92,349e,2
5af,92,6074,2
ebd,92,286e,2
49e,91,f217,2
91a,91,815e,2
65a,91,6a8d,2
d39,91,90a6,2
345,91,f520,2
f3f,91,c132,2
b4a,91,08bf,2
dfc,91,44e3,2
dfc,91,703d,2
2ec,91,8a41,2
90b,91,5d3a,2
0d3,91,2b6e,2
20f,91,ddd2,2
680,91,b5b9,2
026,90,69b6,2
19f,90,b6e5,2
1bb,90,630b,2
4b4,90,c005,2
8e1,90,16d2,2
6fd,90,031d,2
33e,90,a784,2
d3b,90,343b,2
534,90,4c06,2
fd3,90,d4c0,2
fc2,89,e2d6,2
260,89,6c43,2
0f3,89,068f,2
28f,89,b447,2
258,89,4365,2
422,89,89ec,2
a66,89,d774,2
bbb,89,8968,2
193,89,fc6e,2
14e,89,3d18,2
aea,89,4a69,2
837,89,0139,2
6a6,88,4d0c,2
6a6,88,d5bd,2
02e,88,4d48,2
4c8,88,7035,2
0e5,88,17fd,2
f22,88,0a6d,2
2dc,88,0d07,2
fc1,88,ae31,2
fe0,88,5949,2
153,87,c68a,2
c72,87,c0f3,2
cd3,87,c5ef,2
cd3,87,ec52,2
42e,87,b621,2
9a8,87,bf5e,2
34e,87,8e82,2
829,87,431c,2
331,86,707c,2
595,86,472b,2
797,86,3307,2
ea1,86,3830,2
ee5,86,828f,2
4da,86,8b55,2
dbb,86,3aa9,2
d78,86,34ae,2
d78,86,8c2c,2
bbe,85,98e9,2
543,85,4072,2
135,85,9b78,2
58c,85,65a3,2
402,85,1d21,2
402,85,7ac2,2
0e4,85,b15a,2
0ad,85,3aab,2
406,85,19a0,2
2bd,85,3f37,2
d33,85,1969,2
8da,85,b838,2
162,85,304d,2
dc7,85,90e7,2
508,85,a5c5,2
552,85,64d8,2
54f,85,9984,2
8b0,84,709d,2
fb2,84,8624,2
fd8,84,7811,2
741,84,d31f,2
206,84,dd1b,2
91e,84,65ba,2
b76,84,3900,2
f3d,84,b54a,2
f71,84,1d74,2
365,84,3936,2
461,83,1699,2
25d,83,9d40,2
972,83,6b5e,2
cb8,83,f1df,2
264,83,8a23,2
def,83,4942,2
4f9,83,45f8,2
88b,83,585d,2
afa,83,8265,2
b2d,82,3370,2
785,82,0abe,2
85a,82,c9bf,2
8b1,82,82e3,2
f41,82,802e,2
1dc,82,78fb,2
ee7,82,2b68,2
cb5,82,3ae1,2
230,82,94f0,2
81c,82,1ae9,2
5f9,82,288a,2
eee,82,3c04,2
20a,82,213e,2
20a,82,3524,2
da0,82,c7b6,2
b5a,82,f990,2
bee,81,1d1e,2
54d,81,11b5,2
a4f,81,4c03,2
a17,81,688f,2
3a9,81,c293,2
d24,81,b073,2
d29,81,cc21,2
f4b,81,51c3,2
c6c,81,3099,2
9af,81,a021,2
646,80,8be0,2
ad0,80,2aff,2
838,80,08ee,2
440,80,bd19,2
6e2,80,ae29,2
dd6,80,38a6,2
311,80,2fdc,2
131,80,f2f1,2
2c7,80,babb,2
fe3,80,fa8d,2
6ce,79,4d56,2
100,79,d188,2
320,79,892b,2
f90,78,6c34,2
43b,78,bc1b,2
3be,78,0ed1,2
80b,78,28b5,2
22f,78,9c89,2
8ce,78,7073,2
3d2,77,2299,2
81e,77,392e,2
e30,77,00e3,2
f17,77,1876,2
756,77,df04,2
836,77,eb44,2
83f,77,534f,2
58b,77,b8d0,2
286,77,3c02,2
4e5,77,b008,2
531,76,4cd1,2
123,76,b7e3,2
9a7,76,8d88,2
205,76,5df1,2
6d4,76,204e,2
cf9,76,603d,2
25f,76,c965,2
9c7,76,6b21,2
539,75,1c3f,2
662,75,98e5,2
4cc,74,f19d,2
d71,74,b6f5,2
0be,74,2dae,2
2da,74,c968,2
59a,74,3198,2
b20,74,0445,2
87f,74,36bc,2
9f2,73,5218,2
299,73,b941,2
e51,72,0948,2
ade,72,85d1,2
16f,72,b11b,2
3c9,71,2386,2
c4e,70,116c,2
cd1,69,edf4,2
1d5,69,9e35,2
243,65,0021,2
050,61,0f9e,2
33c,57,2138,2
